단어,빈도수
문재인,17383
사람,8011
안철수,7931
대통령,7787
후보,7572
국민,6253
지지,4812
나라,4332
생각,3435
홍준표,3327
북한,3085
조사,2880
문제,2810
여론,2681
박근혜,2659
공약,2522
정치,2392
토론,2372
댓글,2363
정책,2340
죄인,2233
동성애,2196
투표,2142
이다,2093
대선,2054
기사,2010
보수,1961
선거,1936
아들,1867
대한민국,1858
반대,1847
조작,1647
언론,1636
청산,1550
유승민,1550
이번,1540
정권,1509
인간,1445
철수,1444
세력,1362
민주당,1264
지지자,1254
이상,1233
돼지,1209
세월호,1205
수준,1182
소리,1181
안보,1142
노무현,1136
이재명,1131
사고,1118
차별,1110
촛불,1089
당선,1084
우리나라,1055
거짓말,1044
심상정,1021
파이팅,1019
네거티브,996
정부,993
찬성,992
정도,985
일자리,985
필요,965
정신,959
유세,947
거지,931
미래,916
국가,916
기자,914
절대,897
이건,880
시간,880
서민,869
사실,869
진짜,866
비리,857
합법,853
세금,834
본인,834
지금,832
하네,831
얘기,820
알바,813
전쟁,809
오늘,796
의혹,794
준비,789
미국,786
이유,773
마라,754
그네,747
쓰레기,743
탄핵,737
이명박,730
공무원,729
가능,726
노조,712
빨갱이,697
공단,696
개성,688
이제,688
세상,687
경제,686
새끼,684
해명,669
조문,657
사회,656
프로,646
취업,636
군대,636
잘못,631
네이버,631
특혜,630
진보,621
응원,620
준용,620
정치인,616
차량,614
사건,614
이해,613
교체,612
질문,606
박지원,606
찰스,599
인정,599
자신,594
보니,593
개혁,588
호남,587
기업,584
대문,584
김정은,583
발언,581
한국,576
사드,572
사퇴,568
이랑,568
진실,565
국민의당,561
특검,550
통합,549
검증,534
뉴스,534
현실,528
폐지,526
다음,525
인권,522
정당,518
니다,514
걱정,511
책임,511
가요,499
시작,499
결과,498
선동,498
공개,496
중요,495
자유,492
좌파,491
팩트,490
마음,489
대표,489
기득,488
이용,484
상황,479
안희정,472
진정,470
능력,469
최순,464
동안,460
부정,460
개표,459
토론회,456
가족,456
인가,455
압도,450
시대,450
제일,445
이야기,441
지원,439
승리,438
자체,434
출신,432
의원,430
전화,430
모습,428
고인,426
라고,413
자리,411
상식,410
유가족,409
선택,408
국정,407
재산,407
단일,403
거짓,403
캠프,398
채용,397
대상,396
문구,392
기대,390
가짜,390
노동자,390
진심,388
권력,388
국회의원,383
주변,383
민심,382
유라,378
누리,372
정말,371
실망,369
확실,369
송민순,368
구라,366
주장,365
한국당,364
한심,362
사과,361
관련,361
김대중,361
깨끗,360
사진,359
대답,359
난리,358
자격,356
답변,356
응답,349
청년,349
요즘,348
재벌,347
중국,346
민주,341
시장,340
회사,338
박사모,338
공격,338
최고,337
입장,337
정제,334
아바타,333
귀족,330
행동,330
논리,328
재인,328
궁금,327
머리,324
명복,323
불법,323
대통,322
개인,321
든든,321
내용,319
부대,319
고발,316
인지,316
시민,311
여자,311
대단,309
과거,309
소신,308
사기,307
기본,307
5월,305
판단,303
상대,303
간다,303
교육,302
거리,302
비정규직,300
외교,299
정의,298
얼굴,298
참여,296
집단,296
얼마,295
국정원,294
양심,293
무시,293
정상,293
해결,293
대기업,292
그때,291
경선,290
특전사,289
당연,287
역사,287
바보,286
대화,285
나이,284
사면,284
인물,282
에이즈,281
민주주의,280
통과,279
단식,278
부인,275
증거,274
유족,273
남자,272
요금,272
당시,272
대세,271
부산,271
있다,271
여러분,270
처음,269
시절,269
국회,268
결정,268
색깔,267
엄지,267
법안,267
트럼프,266
광화문,266
통일,265
대체,265
가산,263
관심,261
운동,261
수사,260
어제,260
완전,260
의미,259
이명,259
뇌물,259
이름,258
구속,258
무능,258
평화,257
