긍정단어,긍정TFIDF,부정단어,부정TFIDF,중립단어,중립TFIDF
문재인,0.6549506557239997,문재인,0.549435736310882,문재인,0.6309224674264902
후보,0.3000047092547701,사람,0.28985036964773364,안철수,0.31170574283570646
대통령,0.2994936279783565,안철수,0.25652996390617794,대통령,0.30586386813731303
안철수,0.24812995969879192,대통령,0.2428632299527022,후보,0.22699855970900176
지지,0.2307531963007303,후보,0.24191357774445463,투표,0.22282579206729217
파이팅,0.20008831971591565,국민,0.21540589436641402,사람,0.19445097210366694
국민,0.17913398738295896,지지,0.14798058758083724,국민,0.14020499276144227
나라,0.15843519568820907,나라,0.14612257239078766,조사,0.13019035042133925
정책,0.15460208611510723,생각,0.12308318403417294,지지,0.12685213630797157
사람,0.13415883505856413,북한,0.12180321801436102,홍준표,0.10223280722188498
