단어,빈도수
심상정,2945
정의당,2875
지지,1859
국민,1452
허경영,1434
민주당,1403
사람,1394
후보,1225
생각,985
정치,788
토론,753
정당,749
윤석열,695
노동자,684
대통령,661
중대,640
나라,628
정의,601
진보,576
여성,571
대선,566
사과,563
세금,527
이다,510
여자,498
소리,491
이재명,487
문제,461
조국,450
대표,444
아줌마,428
상정,410
안철수,407
폐지,391
비례,388
이상,374
거지,374
가부,371
정신,365
노조,365
노회찬,362
선거,340
대한민국,339
안희정,337
인간,332
이유,322
의원,317
정책,317
진중권,308
공약,295
지금,294
본인,290
김건희,281
필요,279
국회의원,265
정권,257
국가,257
존재,257
가족,255
이제,250
피해자,245
잘못,243
프로,243
노동,239
얘기,239
정치인,238
김지은,234
이번,233
차별,232
좌파,232
부세,229
관심,229
자리,219
이해,219
사회,217
정도,216
사적,213
사퇴,213
민노총,213
이랑,208
귀족,198
서민,191
약자,191
수준,189
박원순,189
마라,187
유호정,187
해체,181
시간,179
보수,177
공수,173
대변,172
세상,169
기업,168
자신,165
문재인,164
현실,163
절대,162
하네,162
반대,159
자체,158
응원,156
방송,155
대화,152
노릇,151
사실,148
개인,148
피해,148
우리나라,147
공사,147
기사,144
사태,140
안전,138
은퇴,138
쓰레기,136
역할,136
남자,134
재벌,134
가능,132
박근혜,132
인지,132
무식,131
이건,131
시대,130
상황,130
이름,130
기득,130
불륜,130
단일,129
집단,129
사건,129
페미니즘,129
평등,129
비판,128
당선,128
권력,128
공개,127
미투,127
정상,127
선택,126
행동,126
진짜,126
정부,126
남성,125
진정,124
빨갱이,124
공정,124
제일,124
불쌍,121
통화,121
모습,120
정체성,118
그동안,118
한심,117
주장,116
니다,116
가요,115
월급,115
부인,115
경제,114
가치,114
시민,114
파이팅,113
검찰,113
주제,113
소수,112
반성,112
사기,112
단체,112
집값,111
북한,110
남녀,109
세력,108
이용,107
보니,107
민주,106
아이들,106
여론,105
동성애,105
역사,104
폭탄,103
한마디,102
인권,102
부자,101
댓글,101
선동,100
공산당,100
실망,100
공무원,100
교체,99
불법,99
발언,99
양당,99
책임,98
머리,98
도움,98
군대,98
마음,97
이익,97
바보,97
심각,96
한국,96
인정,96
장애인,96
지지자,95
거대,95
이야기,95
얼굴,95
상식,95
판단,95
자격,95
여당,94
기자,93
라고,93
금지법,93
죄명,92
짓거리,92
인가,92
미래,92
조사,92
갈등,91
청년,91
다음,91
능력,90
오빠,90
시작,90
현대차,88
찬성,87
언론,87
연금,87
사면,87
사고,86
자유,85
결과,85
개혁,85
당연,84
투표,84
아들,84
가난,83
총선,83
토론회,83
이석기,83
요즘,82
대구,82
출마,82
혐오,82
성추행,81
강화,81
무시,81
예전,81
모양,81
운동,80
그때,80
대기업,80
민주주의,80
옹호,79
얼마,79
걱정,78
철수,78
의미,78
국지,77
거짓말,77
목소리,77
권리,77
양심,77
뒤통수,76
정계,76
동안,76
국민의,75
혼자,75
오판,75
국회,74
욕심,74
회사,74
포기,74
기대,74
비리,73
서울,73
완주,73
독재,72
일제,71
기생충,71
논리,70
내용,70
이미지,70
돼지,69
학교,69
촛불,69
외면,69
율도,69
중요,69
유지,68
재산세,68
활동,68
진심,68
입장,68
월세,67
공부,67
이후,67
중대로,67
분이,67
평생,67
마지막,67
파악,66
예산,66
보호,66
침묵,65
건희,65
아냐,65
자살,65
무능,65
인물,65
선거법,65
아무도,64
대장동,64
오늘,63
지원,63
순간,63
재산,63
장혜,63
입당,63
위성,63
아주머니,62
호감,62
처음,62
거리,62
말씀,62
민주노총,62
발전,61
시위,61
야당,61
대체,61
개소리,61
낭비,61
윤미향,61
인식,60
기생,60
도세,60
여경,60
기회,60
부동산,59
녹음,59
드라마,59
눈치,59
수지구,58
운운,58
배신,58
통합,58
통과,58
전과,57
하나,57
공격,57
노력,57
간첩,57
아웃,57
있다,57
어린이,56
일반,56
친구,56
야합,56
군인,55
진다,55
질문,55
일본,55
경영,54
정치판,54
원래,54
범죄,54
가해자,54
대통,54
게임,54
생명,54
홍준표,53
직원,53
불의,53
복당,53
분노,53
유석,53
의견,53
중국,53
꼬락서니,53
신경,53
미국,53
코스프레,53
장관,53
난리,52
당원,52
일자리,52
정작,52
인생,51
해산,51
갈라치,51
시원,51
뻔뻔,51
아무것,51
근무,51
팩트,51
억울,50
타령,50
기본,50
기억,50
현장,50
민주화,50
주민,50
혈세,50
주식,50
요구,50
하면,50
이재용,50
전쟁,49
대리,49
한자리,49
범죄자,49
동네,48
포함,48
노선,48
서열,48
운영,48
대부분,48
젠더,48
성범죄,48
해결,48
이준석,48
관련,48
주택,48
똑똑,48
이념,48
대다수,48
양자,47
누나,47
궁금,47
여가,47
아파트,47
세대,47
소득,47
의석,47
철회,47
이하,47
대신,47
공감,47
동형,47
짜증,47
성폭력,47
가야,46
타투,46
죄인,46
운동권,46
사상,46
