긍정단어,긍정TFIDF,부정단어,부정TFIDF,중립단어,중립TFIDF
심상정,0.6323963113301322,정의당,0.44730448797309796,허경영,0.5902881366341357
후보,0.44343327009602895,심상정,0.4031549540952337,심상정,0.4981731089428215
응원,0.2821848082429275,지지,0.2717022066092621,지지,0.24062701111200435
지지,0.22171663504801448,국민,0.22572694012742606,정의당,0.21994812734456648
안철수,0.18896304123410324,민주당,0.2215775478456719,토론,0.20866873619869128
정의당,0.15872895463664674,사람,0.21344473897343375,후보,0.18610995390694088
허경영,0.13605338968855435,허경영,0.1769300868939972,안철수,0.12783309965325232
사람,0.13353388247209963,후보,0.15751093101538774,중대,0.11467380998306458
국민,0.11337782474046194,생각,0.15136983043839158,민주당,0.11091401293443952
윤석열,0.11085831752400724,정치,0.12514567121770534,윤석열,0.10715421588581445
