단어,빈도수
안철수,20875
문재인,12648
후보,9402
사람,8332
국민,7685
대통령,7433
지지,6011
철수,4669
홍준표,4529
정치,4053
토론,3973
생각,3780
나라,3676
여론,3154
보수,3085
조사,2972
문제,2693
박근혜,2640
아들,2586
댓글,2556
대선,2506
투표,2112
네거티브,2106
대한민국,2076
정책,2074
미래,2041
이다,1997
죄인,1956
조작,1901
재산,1879
선거,1868
공약,1835
유승민,1790
이번,1696
아바타,1689
오늘,1650
지지자,1613
민주당,1584
공개,1518
수준,1515
인간,1496
북한,1442
세력,1433
찰스,1420
파이팅,1377
박지원,1313
이상,1312
교육,1259
돼지,1257
정도,1217
언론,1217
당선,1207
실망,1185
거짓말,1179
뉴스,1169
사실,1156
기사,1133
우리나라,1128
소리,1119
정권,1105
정치인,1100
진보,1095
해명,1083
의혹,1072
증빙,1069
정신,1068
본인,1068
초등학생,1057
노무현,1025
거지,984
얘기,964
가짜,960
유치원,960
검증,948
하네,938
정체성,935
절대,932
진짜,925
자료,918
이제,887
필요,879
호남,878
심상정,874
네이버,867
미국,865
사과,848
비리,835
통합,825
지금,811
능력,806
이유,797
국민의당,797
그네,790
보니,789
촛불,779
이해,776
자신,769
질문,759
특혜,750
프로,744
시간,737
이건,737
토론회,731
국가,731
단일,724
니다,722
이명박,719
청산,718
정부,714
서민,714
개혁,707
가능,707
다음,707
정당,701
마라,696
진정,695
잘못,694
깨끗,692
취업,689
김종인,675
반대,666
갑지,661
탄핵,659
안보,658
준용,658
주변,647
경제,647
모습,645
진심,639
쓰레기,632
이랑,629
사퇴,620
인정,619
결과,615
교수,611
새끼,610
세상,606
시대,603
사회,593
혁명,589
마음,584
한국,575
진실,572
단설,572
좌파,567
중요,562
기득,562
응원,556
이야기,555
부모,551
서류,551
자식,550
세금,549
알바,534
인가,530
가요,527
시작,525
공격,524
지원,521
상왕,520
준비,520
민심,520
자리,518
선택,506
대표,503
확인,500
산업,496
제일,492
캠프,491
걱정,484
의원,479
인물,475
부인,473
한심,473
상황,471
현실,466
선동,465
상식,463
가족,462
똑똑,461
개성,461
제가,458
공단,456
거짓,456
머리,455
얼굴,452
리얼미터,445
공정,445
유라,444
사립,444
라고,442
기부,441
국회의원,429
권력,428
채용,427
자체,427
대단,424
여자,423
판단,421
이미지,414
트럼프,409
공무원,407
증거,407
부정,406
정직,405
궁금,405
여성,404
팩트,403
고발,402
보좌관,401
세월호,400
최순,400
발언,399
자유,399
국정,398
처음,397
병설,395
일자리,394
기대,394
행동,394
공부,389
확실,387
상대,386
얼마,383
색깔,383
유족,382
자격,382
빨갱이,380
패권,380
응답,379
전략,379
유세,378
사드,378
승리,377
유가족,375
과거,371
개표,370
소신,370
문구,368
바보,367
답답,365
구태,364
남자,364
수저,364
구라,364
기자,363
대통,362
요즘,362
김정은,362
김대중,360
출신,357
재인,356
인지,355
아이,354
아이들,352
간다,351
안함,350
정제,350
아빠,348
국회,346
여러분,345
한국당,345
전화,345
대학,342
내용,340
정말,339
청년,339
노인,336
이용,336
무시,335
서울대,333
사기,332
주장,332
논란,332
폐지,331
희망,331
대체,331
부대,331
바른,330
동안,330
관심,329
누리,328
개인,328
사건,326
있다,326
방송,325
기회,324
