긍정단어,긍정TFIDF,부정단어,부정TFIDF,중립단어,중립TFIDF
안철수,0.7741343074313778,안철수,0.5273170879850749,안철수,0.6505094422220046
후보,0.29060681309421516,문재인,0.39330280043085697,문재인,0.30831243168850586
대통령,0.20895025886332924,사람,0.254900931434974,후보,0.2491075082120899
파이팅,0.20348134414578725,후보,0.2524789864791749,대통령,0.17724241241996233
지지,0.19122343184784826,국민,0.22278383528198567,투표,0.1720294002899634
국민,0.18028560241276423,대통령,0.20530371081839202,철수,0.16867817820639272
사람,0.1250307054389777,지지,0.1637796400544738,사람,0.15117735176996785
미래,0.11824170785858072,철수,0.14019200222408235,홍준표,0.14782612968639713
문재인,0.11597870866511506,홍준표,0.13127643673461895,국민,0.14224075954711263
대한민국,0.09070855100474853,정치,0.12443180968562143,증빙,0.12101635301783141
