긍정단어,긍정TFIDF,부정단어,부정TFIDF,중립단어,중립TFIDF
윤석열,0.5056613685461684,윤석열,0.40621640272920384,무당,0.5400596665270679
후보,0.43648611388956343,국민,0.3143982578910189,윤석열,0.47467508425885374
안철수,0.352696368812549,후보,0.30316150252943047,후보,0.2606891786537891
이재명,0.22116595502886363,토론,0.250672001456805,이재명,0.2581417273965859
대통령,0.22019165566750298,사람,0.23612579074899534,안철수,0.2445553206915025
파이팅,0.21824305694478172,대통령,0.22835241888926636,토론,0.20889100309065836
지지,0.21239726077661794,이재명,0.2025694528198682,사람,0.1401098191461733
국민,0.19193697418804465,안철수,0.19187144600301348,대통령,0.13841151830803786
응원,0.13250471314504605,나라,0.1700906119802085,국민,0.11888105866948037
사람,0.1315304137836854,정권,0.15462083233856963,단일,0.10614380238346462
