단어,빈도수
홍준표,11913
후보,8443
사람,7589
보수,6897
대통령,6870
유승민,6636
문재인,6560
국민,5866
지지,4819
나라,4286
안철수,4275
정치,3778
생각,3520
인간,2963
돼지,2761
대선,2727
쓰레기,2662
박근혜,2604
이다,2293
대한민국,2225
세월호,1901
정당,1893
문제,1800
북한,1791
선거,1781
토론,1750
좌파,1724
바른,1699
이번,1692
자유,1587
사퇴,1579
죄인,1566
조사,1538
정치인,1505
파이팅,1433
정권,1403
여론,1389
공약,1356
정제,1350
투표,1338
한국당,1326
세력,1305
단일,1281
소리,1242
새끼,1186
당선,1165
아들,1152
거짓말,1150
수준,1142
진짜,1133
탄핵,1115
노조,1103
정신,1090
이상,1088
서민,1060
우리나라,1053
언론,1033
댓글,1010
하네,984
누리,964
의원,946
국가,932
절대,922
거지,921
다음,918
용서,914
지지자,912
이용,910
정책,907
노무현,902
진정,886
소신,867
지금,858
철수,821
잘못,814
트럼프,805
김무성,797
안보,796
정도,787
마라,766
도지사,751
우파,745
얘기,736
흥분,721
필요,720
한국,703
사실,703
진보,702
국회의원,698
촛불,696
민주당,696
빨갱이,691
본인,683
세금,682
이제,680
경남,674
양아치,670
자신,667
심상정,665
이건,658
비리,655
그네,645
사건,640
미래,635
장제원,634
인정,633
미국,630
조작,626
오늘,625
한심,620
정부,616
반대,614
프로,604
이유,589
청산,587
마음,585
자유당,583
탈당,579
가능,578
사고,572
새누리당,566
귀족,563
기억,560
김성태,559
현실,556
보니,555
특검,554
인물,549
막말,544
응원,543
자격,538
기사,527
실망,526
제일,525
시원,524
이해,521
발언,521
완주,515
강간,512
검사,510
사과,501
시대,500
세상,490
개혁,489
반성,488
니다,481
권력,480
이야기,477
자체,476
김정은,469
철새,469
배신,468
친박,463
모습,462
선동,461
공단,461
대표,456
경제,455
개성,452
간다,451
불쌍,451
이랑,450
시간,449
정말,446
사형,438
양심,437
여자,424
전교조,424
자리,423
집단,422
공무원,416
최순,413
꼼수,412
검증,411
가족,409
행동,408
총선,405
꼴통,402
대단,398
출신,397
중요,396
라고,396
경상도,387
동안,387
일자리,386
결과,385
배신자,385
시작,384
팩트,384
의혹,382
솔직,382
진심,382
사면,379
네거티브,378
사회,377
진실,377
국정,375
토론회,372
걱정,372
인가,371
준용,370
뇌물,365
기회,363
내세,363
강성,357
확실,357
이름,356
능력,353
얼굴,352
대구,351
취업,349
과거,348
머리,348
선택,347
최고,347
깨끗,345
추모,344
대통,343
성완종,339
집권,339
친구,335
가짜,335
있다,334
해명,334
자식,333
시절,332
특혜,330
노인,330
사드,327
인지,327
관심,327
지도자,322
뉴스,322
박지원,321
찬성,318
이명박,318
폐지,318
상황,317
복지,317
레드,315
청문회,311
민심,310
거짓,309
기회주의자,303
무시,302
정의,302
지역,302
황영철,298
기대,298
기득,298
부모,297
역사,297
눈치,295
가요,295
상식,294
말씀,289
유라,288
책임,287
나이,286
지사,285
자서전,285
여성,285
사시,284
남자,284
희망,284
그동안,283
요즘,282
박쥐,282
사기,282
준비,281
범죄,278
심판,278
전쟁,277
알바,276
청년,276
호남,275
논리,275
국회,275
홍이,274
주장,273
성범죄,272
질문,272
전라도,271
통합,270
처음,270
판단,265
재판,263
유가족,262
중국,261
정상,261
출마,260
수구,259
완전,259
한마디,258
안함,258
승리,257
구속,256
어이,256
민주주의,253
네이버,252
지원,251
타령,250
혼자,250
합리,249
아냐,249
이익,249
설거지,248
바보,248
가치,247
명분,244
동네,243
김대중,243
경남도,242
교체,242
포기,240
초등학생,237
궁금,236
양반,236
그때,236
결정,235
문구,233
민노총,233
모래시계,232
가산,232
유세,231
인생,230
주변,230
인권,229
대상,229
기업,226
조선,226
아이,226
범죄자,226
찰스,224
상대,221
콜라,221
구라,220
박사모,220
의미,219
당당,219
마지막,219
호감,218
발전,218
부정,218
사이다,217
미친놈,217
똑똑,215
밥그릇,214
방송,214
단체,213
개인,213
야당,212
공격,212
뻔뻔,212
난리,212
당장,212
원래,212
차기,210
시민,210
분열,210
내용,210
수사,209
주둥이,209
거리,208
미군,208
국민의당,208
짓거리,208
이미지,208
기가,206
정치판,205
모양,205
세계,205
세탁기,204
유권자,203
검찰,203
대북,202
고민,202
여러분,202
평화,201
평생,201
인성,201
보궐,201
꼬락서니,200
안희정,200
관련,200
중도,196
부활,196
기자,194
이재명,194
얼마,194
아버지,193
기본,192
공감,192
답답,191
당시,191
친북,191
방법,188
일본,188
채용,188
생명,188
재벌,187
대부분,187
개판,186
분이,186
장난,186
아저씨,185
대체,185
제도,185
반장,185
색깔,184
조원진,184
감사,182
창피,182
공부,182
군대,181
이념,181
정직,181
나머지,180
신념,179
해결,179
비용,179
리본,179
개소리,177
부패,177
입장,177
아이들,177
비난,176
주자,175
하나,175
위기,174
의리,174
저질,174
존재,174
개그맨,174
민주,173
싸움,173
재인,173
대세,173
가자,172
라면,172
부산,171
이후,171
코미디,170
척결,169
사태,169
수저,169
멍청,169
태극기,168
사표,168
5월,168
친일파,167
박정희,167
로스쿨,167
무식,166
꼰대,166
도덕,166
애국,165
대권,164
연방제,164
좌우,164
운운,164
학생,164
당연,163
인하,163
개그,162
사진,162
나중,162
느낌,162
노동자,161
성폭행,161
최소한,160
발악,160
아니야,159
제정신,158
해먹,158
하면,158
하늘,157
부탁,157
피해자,156
시장,156
교육,156
가슴,155
대답,155
은퇴,155
결집,155
약속,155
최악,155
짜증,154
